ID,Pm,Po,Ps,hm,hs,Lmotive,DmotiveIn,DmotiveOut,Dthroat,alphaMotiveDiff,alphaMotiveConv,ThicknessNozzle,Lmch,alphaSuction,Dmix,Lmix,alphadiff, DdiffOut,Loutlet,ConvergenceIndicator,CrashIndicator,Experiment_model_type,mfr_m,mfr_s,mfr_o,mfr_err,uni_alpha,uni_vel,ds1
213,12017500.0,3274500.0,2831500.0,281650.0,454000.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,0,0,HEM,0.12639068,0.058436668,-0.18694152,-0.0021141719999999975,0.99978846,0.97386806,0.0039159288775778445
214,11367500.0,5004833.333333333,4244500.0,269350.0,414800.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,0,0,HEM,0.12736466,0.0024040888,-0.064390619,0.0653781298,0.99953312,0.98281516,0.15853257778678514
215,9287500.0,5237166.666666667,4145500.0,287050.0,400666.6666666667,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.087017342,-0.072232502,-0.014785162,-3.220000000057205e-07,0.99998616,0.95052381,0.002796548511604641
216,11952500.0,5421166.666666667,4847500.0,260350.0,413200.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,0,0,HEM,0.14053237,-0.097267208,0.069845303,0.113110465,0.99999915,0.9981738,0.05663654259068792
217,13989166.666666666,4592833.333333333,3524500.0,320350.0,410533.3333333333,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,0,0,HEM,0.12199679,0.090790132,-0.2083202,0.0044667219999999785,0.99986264,0.95818405,0.0029710533624866943
218,10024166.666666668,5299500.0,4604500.0,291550.0,426533.3333333334,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.094875326,0.061097204,-0.15601438,-4.1850000000009935e-05,0.99999984,0.93166101,0.004560292565922921
219,12385833.333333334,5396833.333333333,4622500.0,278650.0,380400.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.13257232,0.1332284,-0.26580493,-4.210000000004488e-06,0.99999964,0.96883637,0.0025204186163948154
220,12472500.0,4690500.0,4541500.0,317050.0,455600.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.10893301,0.12542906,-0.23435175,1.03200000000081e-05,0.99999747,0.97958811,0.0022404028970824026
221,10955833.333333334,5725500.0,5198500.0,308950.0,435066.6666666667,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.096564907,0.11755824,-0.21412132,1.827000000009793e-06,0.99999971,0.9712793,0.002286065868767525
222,7705833.333333333,5216833.333333333,4946500.0,317350.0,447600.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.05355636,0.068266071,-0.1218896,-6.716900000000581e-05,0.99999613,0.93900938,0.0021015288007419294
223,11042500.0,3803833.3333333335,3155500.0,312550.0,453733.3333333333,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,0,0,HEM,0.095589162,0.085410825,-0.17264705,0.008352937000000005,0.99994892,0.97046009,0.008670793107340426
224,12710833.333333334,5148166.666666667,3902500.0,282550.0,400933.3333333333,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,0,0,HEM,0.13345945,0.051649568,-0.1832275,0.0018815180000000264,0.99999957,0.94111706,0.002575774258304157
225,11887500.0,3599833.3333333335,3371500.0,326950.0,415866.6666666667,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,0,0,HEM,0.097532473,0.090070202,-0.18366742,0.003935254999999999,0.99999972,0.96733207,0.0006353533443850803
226,12039166.666666668,3612166.6666666665,3416500.0,302650.0,456933.3333333333,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,0,0,HEM,0.1128643,0.081653991,-0.19968465,-0.0051663589999999815,0.99999897,0.97357988,0.00282062645479467
227,13837500.0,4137500.0,3722500.0,322450.0,427600.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,0,0,HEM,0.11932755,0.094117111,-0.21145054,0.0019941210000000154,0.99999907,0.97045555,0.0015184973312990639
228,12992500.0,5779500.0,4748500.0,261550.0,408133.3333333333,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,0,0,0,0,0,0,0,0,0,0
229,13577500.0,5238500.0,5117500.0,327550.0,383600.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.11396127,0.16848315,-0.28243827,6.1500000000380695e-06,0.9999989,0.97438819,0.0002908281615173876
230,11432500.0,4566833.333333333,3092500.0,260950.0,447066.6666666667,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,0,0,HEM,0.13403767,-0.076198777,-0.020174455,0.037664438,0.99994729,0.92828428,0.010174028233921389
231,8139166.666666667,3944833.3333333335,3506500.0,339250.0,412666.6666666667,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.053039288,0.077934797,-0.13100906,-3.4975000000020406e-05,0.99999965,0.9443267,0.0010638720086300246
