,Unnamed: 0,Dmix,Lmix,X,pressure
17,17,0.004,0.01,0.0326118299999999,3038842.5
18,18,0.004,0.01,0.0334795849999999,3009722.0
19,19,0.004,0.01,0.034337935,3064660.0
20,20,0.004,0.01,0.0352202,3114027.5
21,21,0.004,0.01,0.036089535,3178926.5
22,22,0.004,0.01,0.036951595,3241954.5
23,23,0.004,0.01,0.037817745,3280097.0
24,24,0.004,0.01,0.03870885,3294598.5
25,25,0.004,0.01,0.039577485,3294205.5
26,26,0.004,0.01,0.04046573,3284488.0
27,27,0.004,0.01,0.041366655,3269238.0
28,28,0.004,0.01,0.042267575,3250871.0
29,29,0.004,0.01,0.0431685049999999,3230534.5
30,30,0.004,0.01,0.04406943,3209120.5
31,31,0.004,0.01,0.044970355,3187110.0
32,32,0.004,0.01,0.045871275,3164491.0
33,33,0.004,0.01,0.0467721749999999,3141335.5
34,34,0.004,0.01,0.047673055,3117620.0
35,35,0.004,0.01,0.04857397,3093671.0
36,36,0.004,0.01,0.04947489,3069257.5
37,37,0.004,0.01,0.05037582,3043989.5
38,38,0.004,0.01,0.051276745,3017676.5
39,39,0.004,0.01,0.0521776699999999,2990384.5
40,40,0.004,0.01,0.0530785899999999,2962306.5
41,41,0.004,0.01,0.0539795199999999,2932500.5
42,42,0.004,0.01,0.0548804349999999,2900378.0
43,43,0.004,0.01,0.0557813649999999,2866123.0
44,44,0.004,0.01,0.0566822849999999,2828668.5
45,45,0.004,0.01,0.05758321,2785406.0
46,46,0.004,0.01,0.058484115,2734596.5
47,47,0.004,0.01,0.059385015,2665264.0
48,48,0.004,0.01,0.060293675,2537147.0
49,49,0.004,0.01,0.06180299,2886314.0
50,50,0.004,0.01,0.06370559,3172822.5
51,51,0.004,0.01,0.065620725,3327431.5
52,52,0.004,0.01,0.0675611449999999,3430260.0
53,53,0.004,0.01,0.06948256,3502567.0
54,54,0.004,0.01,0.0714876949999999,3558836.5
55,55,0.004,0.01,0.07349304,3602170.0
56,56,0.004,0.01,0.07549859,3636255.5
57,57,0.004,0.01,0.077504315,3663625.0
58,58,0.004,0.01,0.07951025,3686020.0
59,59,0.004,0.01,0.08151629,3704613.0
60,60,0.004,0.01,0.08352253,3720208.5
61,61,0.004,0.01,0.085471485,3733010.5
62,62,0.004,0.01,0.087435315,3743729.0
63,63,0.004,0.01,0.089441515,3753008.5
64,64,0.004,0.01,0.09134907,3760344.0
65,65,0.004,0.01,0.093356415,3766685.5
66,66,0.004,0.01,0.09528293,3771670.0
67,67,0.004,0.01,0.09727056,3775777.5
68,68,0.004,0.01,0.0992775249999999,3779199.5
69,69,0.004,0.01,0.10122275,3781960.0
70,70,0.004,0.01,0.1031904999999999,3784277.0
71,71,0.004,0.01,0.10519695,3786291.0
72,72,0.004,0.01,0.10720325,3788020.5
73,73,0.004,0.01,0.1092093499999999,3789516.0
74,74,0.004,0.01,0.1112154999999999,3790819.5
75,75,0.004,0.01,0.1132215,3791962.0
76,76,0.004,0.01,0.1152275,3792970.0
77,77,0.004,0.01,0.1172334999999999,3793860.5
78,78,0.004,0.01,0.1192396,3794651.5
79,79,0.004,0.01,0.1212456,3795353.5
80,80,0.004,0.01,0.1232516,3795981.5
81,81,0.004,0.01,0.1252575,3796541.5
82,82,0.004,0.01,0.1272635,3797043.0
83,83,0.004,0.01,0.1292694999999999,3797493.5
84,84,0.004,0.01,0.1312755,3797898.5
85,85,0.004,0.01,0.1332815,3798268.5
86,86,0.004,0.01,0.1352875,3798603.5
87,87,0.004,0.01,0.1372935,3798908.0
88,88,0.004,0.01,0.1392994999999999,3799186.0
89,89,0.004,0.01,0.1413055,3799440.5
90,90,0.004,0.01,0.1433113,3799675.0
91,91,0.004,0.01,0.1453169,3799890.5
92,92,0.004,0.01,0.14749505,3800013.0
93,93,0.004,0.01,0.1499039499999999,3800020.0
94,94,0.004,0.01,0.1523135,3800010.5
95,95,0.004,0.01,0.1547231999999999,3800006.0
0,0,0.004,0.02,0.00380001065,8499342.5
1,1,0.004,0.02,0.0107348134999999,8499210.0
2,2,0.004,0.02,0.01484748,8497233.5
3,3,0.004,0.02,0.018814215,8483566.5
4,4,0.004,0.02,0.02270322,8027999.5
5,5,0.004,0.02,0.0247023,5835227.0
6,6,0.004,0.02,0.02591141,4980422.5
7,7,0.004,0.02,0.026713925,3232462.5
8,8,0.004,0.02,0.027326625,3236730.0
9,9,0.004,0.02,0.0278584149999999,3268686.5
10,10,0.004,0.02,0.0285008449999999,3294104.0
11,11,0.004,0.02,0.029130275,3240953.0
12,12,0.004,0.02,0.029766835,3185110.5
13,13,0.004,0.02,0.030431665,3151653.0
14,14,0.004,0.02,0.031288315,3001732.0
15,15,0.004,0.02,0.03232163,3037165.0
16,16,0.004,0.02,0.03337261,3034550.5
17,17,0.004,0.02,0.03439176,3054928.5
18,18,0.004,0.02,0.035421925,3074087.0
19,19,0.004,0.02,0.03643399,3104898.0
20,20,0.004,0.02,0.037455425,3151249.5
21,21,0.004,0.02,0.038470285,3199393.0
22,22,0.004,0.02,0.03946928,3234543.5
23,23,0.004,0.02,0.0404927,3255801.0
24,24,0.004,0.02,0.04151852,3265541.0
25,25,0.004,0.02,0.0425532,3267943.0
26,26,0.004,0.02,0.043567735,3265371.5
27,27,0.004,0.02,0.044618555,3259435.5
28,28,0.004,0.02,0.045669375,3251376.0
29,29,0.004,0.02,0.046720195,3241950.5
30,30,0.004,0.02,0.04777102,3231642.5
31,31,0.004,0.02,0.0488218399999999,3220829.0
32,32,0.004,0.02,0.049872665,3209848.5
33,33,0.004,0.02,0.05092348,3198774.0
34,34,0.004,0.02,0.051974305,3187682.0
35,35,0.004,0.02,0.053025125,3176622.5
36,36,0.004,0.02,0.05407594,3165616.0
37,37,0.004,0.02,0.055126765,3154682.5
38,38,0.004,0.02,0.0561775799999999,3143833.5
39,39,0.004,0.02,0.0572284049999999,3133083.0
40,40,0.004,0.02,0.0582792099999999,3122428.5
41,41,0.004,0.02,0.0593299949999999,3111681.0
42,42,0.004,0.02,0.06038939,3104326.0
43,43,0.004,0.02,0.0620340649999999,3229972.0
44,44,0.004,0.02,0.06399494,3371220.5
45,45,0.004,0.02,0.06594466,3463561.0
46,46,0.004,0.02,0.067932455,3531441.0
47,47,0.004,0.02,0.06985515,3579740.5
48,48,0.004,0.02,0.07186055,3618301.0
49,49,0.004,0.02,0.073866035,3648482.0
50,50,0.004,0.02,0.07578172,3671417.0
51,51,0.004,0.02,0.077776945,3690652.5
52,52,0.004,0.02,0.07978265,3706556.0
53,53,0.004,0.02,0.081788455,3719762.0
54,54,0.004,0.02,0.0837943499999999,3730840.0
55,55,0.004,0.02,0.08580035,3740221.0
56,56,0.004,0.02,0.087806365,3748228.0
57,57,0.004,0.02,0.089812515,3755112.0
58,58,0.004,0.02,0.091818735,3761065.5
59,59,0.004,0.02,0.09378666,3766147.0
60,60,0.004,0.02,0.0957311999999999,3770473.5
61,61,0.004,0.02,0.097737755,3774375.5
62,62,0.004,0.02,0.09974447,3777786.0
63,63,0.004,0.02,0.1017511499999999,3780773.5
64,64,0.004,0.02,0.1037314499999999,3783347.5
65,65,0.004,0.02,0.10566475,3785486.5
66,66,0.004,0.02,0.10767165,3787397.0
67,67,0.004,0.02,0.1096784999999999,3789065.5
68,68,0.004,0.02,0.1116851499999999,3790535.5
69,69,0.004,0.02,0.11369185,3791817.5
70,70,0.004,0.02,0.1156985,3792932.5
71,71,0.004,0.02,0.11770485,3793901.0
72,72,0.004,0.02,0.11971095,3794749.0
73,73,0.004,0.02,0.12171705,3795505.5
74,74,0.004,0.02,0.1237232999999999,3796181.0
75,75,0.004,0.02,0.12572935,3796786.0
76,76,0.004,0.02,0.1277355,3797330.5
77,77,0.004,0.02,0.1297416,3797823.5
78,78,0.004,0.02,0.1317477,3798271.0
79,79,0.004,0.02,0.1337538,3798676.5
80,80,0.004,0.02,0.1357599,3799045.5
81,81,0.004,0.02,0.137766,3799382.5
82,82,0.004,0.02,0.139772,3799693.5
83,83,0.004,0.02,0.14180975,3799942.0
84,84,0.004,0.02,0.1440569999999999,3800010.0
85,85,0.004,0.02,0.1464669,3800010.0
86,86,0.004,0.02,0.1488765,3800007.0
0,0,0.0045,0.01,0.00351854375,8499342.5
1,1,0.0045,0.01,0.010185317,8499268.5
2,2,0.0045,0.01,0.0140822749999999,8497873.5
3,3,0.0045,0.01,0.01772882,8490804.5
4,4,0.0045,0.01,0.021375695,8392771.5
5,5,0.0045,0.01,0.0242615849999999,6469939.5
6,6,0.0045,0.01,0.025491005,5316531.0
7,7,0.0045,0.01,0.0264112299999999,3771931.5
8,8,0.0045,0.01,0.026930925,3238602.0
9,9,0.0045,0.01,0.027474735,3217889.5
